Price,Close,High,Low,Open,Volume
Ticker,DRREDDY.NS,DRREDDY.NS,DRREDDY.NS,DRREDDY.NS,DRREDDY.NS
Date,,,,,
2015-01-01,597.1715087890625,601.7286729125757,595.9624826229642,600.7986440518144,378210
2015-01-02,599.198974609375,603.1515969572523,598.008510514136,598.9385393018719,430070
2015-01-05,585.6205444335938,599.1989993539452,584.2441199355286,599.1989993539452,1468825
2015-01-06,570.2100219726562,582.1981084685871,568.2476745595953,582.1981084685871,1956675
2015-01-07,565.3087768554688,572.5350626207676,559.877383244312,571.9863773721294,1597185
2015-01-08,570.3494262695312,575.5110743520996,565.6434831809347,569.1775809910614,1394180
2015-01-09,588.485107421875,589.6383341982456,574.9810693636223,575.6879004238392,2968190
2015-01-12,596.5670166015625,597.8225328420514,581.5749560953909,586.4761695302642,1671110
2015-01-13,599.5616455078125,602.2866230569256,593.3583693585651,597.0784845269575,2453370
2015-01-14,596.7529907226562,599.5337676987409,593.5443800716155,596.1484493085283,1656545
2015-01-15,602.7610473632812,605.253518130112,595.9532286578502,600.1662870357267,2218360
2015-01-16,611.177734375,612.8890124361596,601.0311445931233,603.0307293273393,2110020
2015-01-19,618.2645263671875,619.3991341708353,608.1829899577791,610.0988468709728,1243345
2015-01-20,614.9722290039062,621.6312669390829,612.3960310868484,621.6312669390829,1488550
2015-01-21,620.4872436523438,622.9146617463589,604.890700657383,609.6338244115565,2155780
2015-01-22,625.2118530273438,625.9093746186721,619.4177918400007,619.4177918400007,1228990
2015-01-23,623.044921875,630.5130809142213,620.3292534809455,630.5130809142213,2207395
2015-01-27,597.52490234375,618.4412415714755,594.3535290214338,618.4412415714755,2061520
2015-01-28,602.4819946289062,603.5887312449105,590.0288945472404,598.938586936398,1248555
2015-01-29,625.5932006835938,628.6995221153774,597.1436490670905,601.5426674995139,7008190
2015-01-30,601.4030151367188,627.3693976787257,595.4043193313763,626.8392745665433,3163790
2015-02-02,583.890625,592.2422645578622,583.1466133932025,591.4517628689737,1931265
2015-02-03,574.2277221679688,580.1520015676649,571.9491400685954,576.9899374475484,2612865
2015-02-04,576.0413208007812,581.5005860559432,573.8278474154611,577.5479631199373,1074225
2015-02-05,571.4190063476562,575.687863787319,569.4008596174417,574.3858006787863,2110710
2015-02-06,566.25732421875,579.7799793638624,563.5974554616572,571.9677147011868,1222480
2015-02-09,576.4505004882812,579.0266986204531,559.3193846125865,564.1554893206005,1760745
2015-02-10,582.291015625,585.0811020568676,571.9677185328711,578.6732466926632,1694925
2015-02-11,586.3646240234375,591.6658002990425,581.0727571194843,584.1139698976682,1164455
2015-02-12,619.6223754882812,621.8451579324808,593.7954576785954,594.2884001870337,2286200
2015-02-13,621.9939575195312,626.6534110157156,617.7251570003062,624.9793704833831,1055275
2015-02-16,623.3519287109375,632.9405252990083,620.9152573054738,623.4914557648123,749685
