Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2015-01-01,367.7708740234375,369.18651909497083,364.5111545056969,366.7556905879704,2002764
2015-01-02,374.9980773925781,376.0877731142453,367.32377635301776,367.32377635301776,6778320
2015-01-05,371.7756042480469,378.1273948554082,368.3482380919063,374.38337938498074,9937024
2015-01-06,364.00811767578125,369.7452316243947,360.2641024976114,368.81388343390506,9667316
2015-01-07,365.749755859375,367.83596670446906,363.2257931757006,366.0198377385906,7249916
2015-01-08,367.5938720703125,371.9805319047992,363.2258573932691,369.85705311397766,13564920
2015-01-09,386.4070739746094,392.8426996043403,356.3431700615721,368.8325366978037,44863328
2015-01-12,394.1372985839844,394.7426750106284,386.50956470346887,389.6761490889912,12758888
2015-01-13,389.09869384765625,392.61921788155007,386.50956363586636,392.61921788155007,8801236
2015-01-14,396.50286865234375,397.3131598128215,389.78788421210663,390.88685694665065,9921260
2015-01-15,397.5460205078125,401.00133178430156,393.44808800169943,397.7229675890147,8342452
2015-01-16,394.57513427734375,402.34257205940094,393.4016260136365,400.10733554795985,6690960
2015-01-19,391.6319274902344,397.19209456794607,390.1604154893462,394.8916462683933,4087744
2015-01-20,395.674072265625,397.31325465711296,391.4364367553346,392.4702426453526,6804504
2015-01-21,404.18646240234375,405.3134027881929,394.51908654565585,397.0337266157061,8494908
2015-01-22,409.13201904296875,410.35209451086234,402.58465814936454,405.09929876484193,9958396
2015-01-23,412.59661865234375,414.4499926704358,403.29245824916524,409.79325117975674,9486328
2015-01-27,397.9651794433594,413.70496772464367,396.7730716574242,413.70496772464367,13739968
2015-01-28,399.464599609375,401.37386358212933,396.81025701310676,400.4797601387146,13134356
2015-01-29,399.64154052734375,400.46110881018046,396.3073319289074,399.5484057008401,15369424
2015-01-30,398.970947265625,402.8174428441671,396.18622507851853,402.62185061542954,10833744
2015-02-02,398.0302734375,400.85224011595267,396.01855235659133,398.89640901873264,8702540
