Category: All categories

Month,TCS share price: (India)
2018-01,17
2018-02,11
2018-03,11
2018-04,25
2018-05,20
2018-06,36
2018-07,42
2018-08,26
2018-09,22
2018-10,31
2018-11,22
2018-12,20
2019-01,27
2019-02,22
2019-03,18
2019-04,24
2019-05,23
2019-06,19
2019-07,22
2019-08,19
2019-09,21
2019-10,27
2019-11,24
2019-12,26
2020-01,24
2020-02,20
2020-03,46
2020-04,43
2020-05,32
2020-06,31
2020-07,39
2020-08,25
2020-09,32
2020-10,45
2020-11,34
2020-12,37
2021-01,50
2021-02,42
2021-03,36
2021-04,41
2021-05,32
2021-06,36
2021-07,36
2021-08,35
2021-09,39
2021-10,64
2021-11,42
2021-12,42
2022-01,71
2022-02,100
2022-03,66
2022-04,56
2022-05,47
2022-06,43
2022-07,52
2022-08,39
2022-09,51
2022-10,41
2022-11,38
2022-12,35
2023-01,41
2023-02,36
2023-03,32
2023-04,33
2023-05,25
2023-06,32
2023-07,38
2023-08,28
2023-09,26
2023-10,34
2023-11,31
2023-12,39
2024-01,37
2024-02,31
2024-03,27
2024-04,25
2024-05,18
2024-06,20
2024-07,30
2024-08,23
2024-09,21
2024-10,25
2024-11,19
2024-12,17
2025-01,23
2025-02,18
2025-03,18
2025-04,22
